S/N,Location,Building Class,Floor Area (Sqm),Median Rent (Sqm),Reference Period
303,Central Area,Category 1,>1000,106.31,Q3 2019
304,Central Area,Category 1,>200 - 500,107.64,Q3 2019
305,Central Area,Category 1,>500 - 1000,109.26,Q3 2019
306,Central Area,Category 2,100 & Below,57.69,Q3 2019
307,Central Area,Category 2,>100 - 200,69.95,Q3 2019
308,Central Area,Category 2,>1000,72.95,Q3 2019
309,Central Area,Category 2,>200 - 500,66.27,Q3 2019
310,Central Area,Category 2,>500 - 1000,68.29,Q3 2019
311,Central Area,Category 1,100 & Below,107.66,Q4 2019
312,Central Area,Category 1,>100 - 200,108.7,Q4 2019
313,Central Area,Category 1,>1000,117.33,Q4 2019
314,Central Area,Category 1,>200 - 500,109.79,Q4 2019
315,Central Area,Category 1,>500 - 1000,103.87,Q4 2019
316,Central Area,Category 2,100 & Below,60.32,Q4 2019
317,Central Area,Category 2,>100 - 200,67.81,Q4 2019
318,Central Area,Category 2,>1000,74.32,Q4 2019
319,Central Area,Category 2,>200 - 500,68.08,Q4 2019
320,Central Area,Category 2,>500 - 1000,78.56,Q4 2019
321,Central Area,Category 1,100 & Below,107.64,Q1 2020
322,Central Area,Category 1,>100 - 200,106.02,Q1 2020
323,Central Area,Category 1,>1000,90.7,Q1 2020
324,Central Area,Category 1,>200 - 500,107.64,Q1 2020
325,Central Area,Category 1,>500 - 1000,108.18,Q1 2020
326,Central Area,Category 2,100 & Below,58.24,Q1 2020
327,Central Area,Category 2,>100 - 200,64.84,Q1 2020
328,Central Area,Category 2,>1000,57.78,Q1 2020
329,Central Area,Category 2,>200 - 500,73.02,Q1 2020
330,Central Area,Category 2,>500 - 1000,75.79,Q1 2020
331,Central Area,Category 1,100 & Below,99.02,Q2 2020
332,Central Area,Category 1,>100 - 200,104.92,Q2 2020
333,Central Area,Category 1,>1000,113.02,Q2 2020
334,Central Area,Category 1,>200 - 500,115.72,Q2 2020
335,Central Area,Category 1,>500 - 1000,102.25,Q2 2020
336,Central Area,Category 2,100 & Below,53.42,Q2 2020
337,Central Area,Category 2,>100 - 200,69.97,Q2 2020
338,Central Area,Category 2,>1000,30.88,Q2 2020
339,Central Area,Category 2,>200 - 500,75.17,Q2 2020
340,Central Area,Category 2,>500 - 1000,75.45,Q2 2020
341,Central Area,Category 1,100 & Below,90.42,Q3 2020
342,Central Area,Category 1,>100 - 200,99.05,Q3 2020
343,Central Area,Category 1,>1000,106.56,Q3 2020
344,Central Area,Category 1,>200 - 500,109.25,Q3 2020
345,Central Area,Category 1,>500 - 1000,110.81,Q3 2020
346,Central Area,Category 2,100 & Below,53.54,Q3 2020
347,Central Area,Category 2,>100 - 200,66.57,Q3 2020
348,Central Area,Category 2,>1000,65.99,Q3 2020
349,Central Area,Category 2,>200 - 500,65.67,Q3 2020
350,Central Area,Category 2,>500 - 1000,67.9,Q3 2020
351,Central Area,Category 1,100 & Below,91.63,Q4 2020
352,Central Area,Category 1,>100 - 200,102.81,Q4 2020
353,Central Area,Category 1,>1000,109.8,Q4 2020
354,Central Area,Category 1,>200 - 500,102.27,Q4 2020
355,Central Area,Category 1,>500 - 1000,94.72,Q4 2020
356,Central Area,Category 2,100 & Below,53.78,Q4 2020
357,Central Area,Category 2,>100 - 200,62.42,Q4 2020
358,Central Area,Category 2,>1000,76.39,Q4 2020
359,Central Area,Category 2,>200 - 500,60.52,Q4 2020
360,Central Area,Category 2,>500 - 1000,71.86,Q4 2020
361,Central Area,Category 1,100 & Below,99.41,Q1 2021
